date,exercise,sets,reps,weight,rpe,notes
2024-01-15,Bench Press,3,8,185,8.5,Felt strong
2024-01-15,Squat,4,6,275,9.0,Depth was good
2024-01-15,Deadlift,3,5,315,8.0,
2024-01-17,Bench Press,4,8,185,8.0,
2024-01-17,Squat,4,6,280,9.0,Added 5lbs
2024-01-17,Overhead Press,3,10,95,7.5,
2024-01-19,Bench Press,3,8,190,8.5,PR attempt
2024-01-19,Squat,4,5,285,9.5,Heavy day
2024-01-19,Deadlift,3,5,320,8.5,
2024-01-22,Bench Press,4,8,187.5,8.0,
2024-01-22,Squat,4,6,280,8.5,Recovery week
2024-01-22,Romanian Deadlift,3,10,185,7.5,Accessory work
